Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
2,0.5,1,35,"[0.0, 32.37048428324067, 70.74558169322142, 108.13781550067222, 146.08108848134952, 187.19307609133955, 230.76025888472418, 281.73580318358086, 337.1354496721091, 393.78897164313423]","[4.185381899999999, 4.1822319, 4.1798301, 4.178018600000001, 4.1767979, 4.1755772, 4.1746716, 4.1738052, 4.1730571, 4.172545, 4.1718364, 4.1715212, 4.1708913, 4.1703792]",3206.964114897464,3.6,3.7
3,0.5,1,35,"[0.0, 37.59763531503063, 75.70010867668509, 112.92566059639819, 151.13147358960111, 191.55526412842153, 235.6544349071969, 285.974886993003, 340.96522655450985, 393.794187463379]","[4.1855397000000005, 4.1822715, 4.1799874, 4.1783338, 4.1769161, 4.1756954, 4.1747108, 4.1739626, 4.1731358, 4.172545, 4.1720333, 4.171679, 4.171088200000001, 4.1707339]",3204.713622849937,3.6,3.7
4,0.5,1,35,"[0.0, 25.1705076695863, 63.675813810384966, 101.87928213036946, 140.27799120340921, 180.8611828171961, 224.8061592848777, 274.9699161231656, 330.281667834749, 379.15640010152174]","[4.1840434, 4.1803026, 4.1779003, 4.1760101, 4.1745534, 4.1732144, 4.1722693, 4.1714425, 4.1706944, 4.1699462, 4.1693554, 4.1688828, 4.1683712, 4.1679378]",3177.6350037696666,3.6,3.7
5,0.5,1,35,"[0.0, 33.90682279833527, 71.65186307394765, 108.7706264740392, 147.01763883167655, 187.38796897649206, 230.7929241350903, 280.88624303251265, 334.86595280639835, 379.15170243408204]","[4.1845946000000005, 4.1808929, 4.1784911, 4.1766009, 4.1751046, 4.1739626, 4.1729388, 4.172112, 4.1715608, 4.1707339, 4.170182700000001, 4.169631, 4.1693554, 4.1687255]",3176.268891980387,3.6,3.7
6,0.5,1,35,"[0.0, 32.1031994843288, 70.15561788730747, 107.78766600664937, 145.91736799170644, 185.42547110372595, 228.87336964104077, 278.3659811818477, 332.3618578323943, 379.1539288970272]","[4.184516, 4.1808929, 4.1782546, 4.1766405, 4.1749864, 4.1739626, 4.1730175, 4.1720333, 4.1713638, 4.1707339, 4.170103500000001, 4.1695919, 4.1689620000000005, 4.1689224000000005]",3172.560906322024,3.6,3.7
7,0.5,1,35,"[0.0, 31.25672962187076, 68.95975804431515, 106.52211959789344, 144.580094789282, 184.44225970487724, 227.39267032963022, 276.44836309418923, 331.3850291789524, 379.2383193592663]","[4.184476399999999, 4.1808538, 4.1784911, 4.1764827, 4.1753016, 4.1740022, 4.1731358, 4.1720724, 4.1714821, 4.17097, 4.1702218, 4.1697102, 4.1693163, 4.168843700000001]",3169.6614524799293,3.6,3.7
8,0.5,1,35,"[0.0, 32.02753623134237, 69.86598474485271, 107.42276980623268, 145.14666752223724, 185.10836072566696, 227.98825399756532, 276.45516674743664, 330.8880074963931, 379.2347477429876]","[4.184436799999999, 4.1809325, 4.1785698, 4.1765614, 4.1751833, 4.1740808, 4.1729784, 4.1722693, 4.1714425, 4.1707339, 4.170182700000001, 4.1697102, 4.169395, 4.168843700000001]",3166.890891862115,3.6,3.7
9,0.5,1,35,"[0.0, 29.18999981439117, 66.58876876265094, 104.35836703271855, 141.96807611829524, 181.3656080756416, 224.0328857587823, 272.9696958785876, 326.8674982095995, 379.2274209252254]","[4.184476399999999, 4.1808929, 4.1784911, 4.1766796, 4.1751442, 4.1740022, 4.1729784, 4.1721907, 4.171324299999999, 4.1707339, 4.1702614, 4.1697102, 4.169237600000001, 4.1688828]",3163.530770095078,3.6,3.7
10,0.5,1,35,"[0.0, 31.384488748027763, 68.68962731617813, 106.10859953221455, 143.94211619774597, 183.4247013037853, 226.00307368114244, 274.51618150843893, 328.6381424682633, 379.2383134968398]","[4.1845946000000005, 4.1809325, 4.1784124, 4.1766009, 4.1751442, 4.1740022, 4.1731753, 4.1722302, 4.1714821, 4.1708517, 4.1702218, 4.1696706, 4.169198000000001, 4.1688828]",3160.906980581461,3.6,3.7
11,0.5,1,35,"[0.0, 31.83443927840375, 69.1428869227463, 106.42288414909518, 144.8321918337944, 184.25594249980355, 226.41835417182864, 273.9688078952416, 328.67162238223165, 379.1427992845325]","[4.1843977, 4.1809716, 4.1782942, 4.1764827, 4.1751442, 4.1739626, 4.1728601, 4.1721516, 4.171324299999999, 4.1707730000000005, 4.1702614, 4.1695523, 4.1690011, 4.1687651]",3157.8930956591807,3.6,3.7
12,0.5,1,35,"[0.0, 30.24244296911195, 67.6960468292558, 104.94813478460378, 142.63870014060046, 182.3220976700121, 224.53074521247424, 272.6943608685565, 326.23992389780426, 379.13003530056426]","[4.184436799999999, 4.1808538, 4.1783729, 4.1765223, 4.175065, 4.1738839, 4.1730571, 4.1720724, 4.171324299999999, 4.1706944, 4.170143100000001, 4.1695919, 4.1691194, 4.1688042]",3154.772956141901,3.6,3.7
13,0.5,1,35,"[0.0, 29.72115140354731, 67.52307958145764, 104.46720377098154, 142.00687131675318, 181.6957224390643, 223.66442366292313, 271.34641689085663, 325.269976278826, 379.1661066969806]","[4.184319, 4.1808538, 4.1784124, 4.1764827, 4.1751046, 4.1739626, 4.1728601, 4.1720724, 4.1715212, 4.1707730000000005, 4.1702218, 4.169631, 4.1693163, 4.1688042]",3151.678253231878,3.6,3.7
14,0.5,1,35,"[0.0, 26.37722602477021, 63.369611239910284, 101.06316758262432, 138.3042705873865, 177.60587855746604, 219.24890472551505, 267.33989426638897, 320.9141804813724, 364.59480277004644]","[4.184436799999999, 4.1808538, 4.1784515, 4.1765614, 4.1752229, 4.1738443, 4.1729388, 4.172112, 4.171324299999999, 4.1706944, 4.170103500000001, 4.1695919, 4.169237600000001, 4.1687651]",3148.988592120634,3.6,3.7
15,0.5,1,35,"[0.0, 29.70751237498189, 66.59819688239975, 104.2368287201408, 141.88040696053815, 181.07659566687016, 222.5335619177929, 270.0120169496935, 323.9164939110717, 379.18721447055395]","[4.184436799999999, 4.1807752, 4.1784124, 4.1764827, 4.1751046, 4.1740022, 4.1728997, 4.1720724, 4.1712852, 4.170537, 4.1700249, 4.169473600000001, 4.1692767, 4.1687651]",3145.986619026829,3.6,3.7
16,0.5,1,35,"[0.0, 28.008051213846443, 65.21100384510328, 102.56113055723426, 139.95259286439045, 179.34135022027658, 220.73676108639813, 268.23389876844556, 321.9473611974338, 364.65329667229537]","[4.184436799999999, 4.1807752, 4.1784124, 4.1765614, 4.1751442, 4.1737657, 4.1729388, 4.171993700000001, 4.1714425, 4.1706944, 4.170103500000001, 4.1697102, 4.1691585, 4.1688042]",3143.182239919164,3.6,3.7
17,0.5,1,35,"[0.0, 26.110945570465503, 63.1542435766234, 100.24029524594829, 137.92523292297795, 176.97585500320935, 218.63591388601725, 265.8553301641811, 319.0796914601331, 364.64420292107485]","[4.1842403, 4.180696, 4.1782546, 4.176404, 4.1749473, 4.1737266, 4.172663200000001, 4.1717968, 4.171088200000001, 4.1704974, 4.1700249, 4.169473600000001, 4.1689620000000005, 4.1684103]",3140.011440603299,3.6,3.7
18,0.5,1,35,"[0.0, 27.6104699050685, 64.70206062803743, 102.15323448696017, 139.30206691119668, 178.24803158145698, 219.4137001494454, 266.8828985435059, 320.9413107356687, 364.6328838142223]","[4.1842794, 4.1805387000000005, 4.178175899999999, 4.1764436, 4.1750259, 4.1735296, 4.172663200000001, 4.1717968, 4.171088200000001, 4.1704974, 4.1699066, 4.169473600000001, 4.1689620000000005, 4.1686468]",3137.678669831136,3.6,3.7
19,0.5,1,35,"[0.0, 26.734320542756336, 63.70320513719196, 100.81666721601255, 138.5727401067653, 177.02878324973778, 218.76575475396623, 265.4675294292671, 318.89480812448426, 364.6202973578562]","[4.1843581, 4.1807752, 4.1782942, 4.176364899999999, 4.1750259, 4.173687, 4.1727419, 4.1718364, 4.1711669, 4.170654799999999, 4.1700249, 4.1695919, 4.1690011, 4.1684895]",3135.208713959011,3.6,3.7
20,0.5,1,35,"[0.0, 24.066710382885276, 61.627076591160176, 98.56752154661854, 135.80471605520336, 174.70481366056413, 216.02138310252553, 262.90912208673365, 315.91908936764094, 364.59992991061733]","[4.1841612, 4.1805387000000005, 4.1782546, 4.176168, 4.1748686, 4.1736083, 4.172663200000001, 4.171757700000001, 4.1709309, 4.1703401, 4.1697888, 4.169395, 4.1688042, 4.1684499]",3132.366014371063,3.6,3.7
